Status,Source,Title,URL
Working,PUCT Substantive Rules,16 TAC § 25.29 - Disconnection of Service,https://www.law.cornell.edu/regulations/texas/16-Tex-Admin-Code-SS-25-29
Working,PUCT Substantive Rules,16 TAC § 25.2 - Cross-Reference Transition Provision,https://www.law.cornell.edu/regulations/texas/16-Tex-Admin-Code-SS-25-2
Working,PUCT Substantive Rules,16 TAC § 25.301 - Nuclear Decommissioning Trusts,https://www.law.cornell.edu/regulations/texas/16-Tex-Admin-Code-SS-25-301
Working,PUCT Substantive Rules,16 TAC § 25.303 - Nuclear Decommissioning Following the Tran,https://www.law.cornell.edu/regulations/texas/16-Tex-Admin-Code-SS-25-303
Working,PUCT Substantive Rules,16 TAC § 25.304 - Nuclear Decommissioning Funding and Requir,https://www.law.cornell.edu/regulations/texas/16-Tex-Admin-Code-SS-25-304
Working,PUCT Substantive Rules,16 TAC § 25.30 - Complaints,https://www.law.cornell.edu/regulations/texas/16-Tex-Admin-Code-SS-25-30
Working,PUCT Substantive Rules,16 TAC § 25.311 - Competitive Metering Services,https://www.law.cornell.edu/regulations/texas/16-Tex-Admin-Code-SS-25-311
Working,PUCT Substantive Rules,16 TAC § 25.31 - Information to Applicants and Customers,https://www.law.cornell.edu/regulations/texas/16-Tex-Admin-Code-SS-25-31
Working,PUCT Substantive Rules,16 TAC § 25.33 - Prompt Payment Act,https://www.law.cornell.edu/regulations/texas/16-Tex-Admin-Code-SS-25-33
Working,PUCT Substantive Rules,16 TAC § 25.3 - Severability Clause,https://www.law.cornell.edu/regulations/texas/16-Tex-Admin-Code-SS-25-3
Working,PUCT Substantive Rules,16 TAC § 25.41 - Price to Beat,https://www.law.cornell.edu/regulations/texas/16-Tex-Admin-Code-SS-25-41
Working,PUCT Substantive Rules,16 TAC § 25.431 - Retail Competition Pilot Projects,https://www.law.cornell.edu/regulations/texas/16-Tex-Admin-Code-SS-25-431
Working,PUCT Substantive Rules,16 TAC § 25.43 - Provider of Last Resort (POLR),https://www.law.cornell.edu/regulations/texas/16-Tex-Admin-Code-SS-25-43
Working,PUCT Substantive Rules,16 TAC § 25.44 - Privacy of Advanced Metering System Informa,https://www.law.cornell.edu/regulations/texas/16-Tex-Admin-Code-SS-25-44
Working,PUCT Substantive Rules,16 TAC § 25.45 - Low-Income List Administrator,https://www.law.cornell.edu/regulations/texas/16-Tex-Admin-Code-SS-25-45
Working,PUCT Substantive Rules,16 TAC § 25.471 - General Provisions of Customer Protection ,https://www.law.cornell.edu/regulations/texas/16-Tex-Admin-Code-SS-25-471
Working,PUCT Substantive Rules,16 TAC § 25.472 - Privacy of Customer Information,https://www.law.cornell.edu/regulations/texas/16-Tex-Admin-Code-SS-25-472
Working,PUCT Substantive Rules,16 TAC § 25.473 - Non-English Language Requirements,https://www.law.cornell.edu/regulations/texas/16-Tex-Admin-Code-SS-25-473
Working,PUCT Substantive Rules,16 TAC § 25.474 - Selection of Retail Electric Provider,https://www.law.cornell.edu/regulations/texas/16-Tex-Admin-Code-SS-25-474
Working,PUCT Substantive Rules,16 TAC § 25.475 - General Retail Electric Provider Requireme,https://www.law.cornell.edu/regulations/texas/16-Tex-Admin-Code-SS-25-475
Working,PUCT Substantive Rules,16 TAC § 25.476 - Renewable and Green Energy Verification,https://www.law.cornell.edu/regulations/texas/16-Tex-Admin-Code-SS-25-476
Working,PUCT Substantive Rules,16 TAC § 25.477 - Refusal of Electric Service,https://www.law.cornell.edu/regulations/texas/16-Tex-Admin-Code-SS-25-477
Working,PUCT Substantive Rules,16 TAC § 25.478 - Credit Requirements and Deposits,https://www.law.cornell.edu/regulations/texas/16-Tex-Admin-Code-SS-25-478
Working,PUCT Substantive Rules,16 TAC § 25.479 - Issuance and Format of Bills,https://www.law.cornell.edu/regulations/texas/16-Tex-Admin-Code-SS-25-479
